name,county,city,phone,street,email
Järpens Ridklubb,,,0647-61 18 00,,
Laxå Ridklubb,,,0584-106 66,,
Lits Ryttarklubb,,,0642-500 50,,anna.chu@aveqia.com
Malmö Ridklubb Av År 1920,,,040-15 69 01,,
Melleruds Ridklubb,,,0530-410 00,,
Perstorps Ridklubb,,,0435-305 81,,
Rocklunda Ridskola AB,,,021-18 88 83,,info@ljusagard.se
Roo Gård Ryttarklubb,,,08-543 531 35,,
Strömstads Ridklubb,,,0526-136 70,,
Västerhaninge Ridskola Blåkulla Handelsbolag,,,070-564 69 56,,lotta.bluehill@telia.com
Årekärrs Ridklubb,,,031-91 42 72,,
Östadkulle Ridskola,,Alingsås,0322-63 54 66,Östadkulle 6235,
Storås Ridklubb,,Angered,031-330 12 71,Storås Ridhusväg,
Bankeryds Ridklubb,,Bankeryd,036-37 91 53,målskog,
Forsbacka Ryttargård HB,,Borlänge,0243-23 39 76,Forsbacka,
Amatörryttarklubben,,Bromma,0220-436 83,,info@agestaridskola.se
Kakas Ridklubb,,Brämhult,033-24 13 64,Svinåsa Gård,info@agestaridskola.se
Ekeby Ridklubb,,Djursholm,08-753 13 59,Ekeby Gård,
Dorotea Ridklubb /drk/,,Dorotea,0942-210 68,Avaträsk 702,info@agestaridskola.se
Fagersta Ryttarklubb,,Fagersta,0223-541 40,Hedkärra 110,
Farsta Ridskola AB,,Farsta,08-604 22 40,svartviks gård,claudia@farstaridskola.se
Filipstads Ridklubb,,Filipstad,0590-106 80,,
Mellanbygdens Ryttarförening,,Flarken,0934-213 76,Flarkvägen,
Flyinge Ryttarförening,,Flyinge,046-513 30,Ridhuset Kungsgården,info@agestaridskola.se
Östersund-Frösö Ridklubb,,Frösön,063-10 33 77,Tanne,
Grums Ridklubb,,Grums,0555-614 77,Karlbergs Gård,
Ölmstad Rid och Körsällskap,,Gränna,079-303 25 30,Ölmstad Södergård,
Sudergutarnas Ridhusförening,,Havdhem,0498-48 13 03,Havdhem Snevide,info@agestaridskola.se
Annelis Ridcenter,,Hestra,0370-33 70 39,Öreryd Almedal,anna.chu@aveqia.com
Hofors Ridsällskap,,Hofors,0290-248 27,Norgrensgården Böle,info@agestaridskola.se
Sundby Ridskola AB,,Huddinge,08-746 92 75,Sundby Gård,info@sundbyridskola.se
Hölö Ridskola & Sadelmakeri Kommanditbolag,,Hölö,08-551 542 10,Ahls Gård,marika@yogama.nu
Rosenholms Ridklubb,,Karlskrona,0455-190 90,Västeråkragård,info@agestaridskola.se
Rudskogens Ryttarförening,,Karlstad,054-87 38 11,Rudskogen Nolet,info@agestaridskola.se
Kinda Ridklubb,,Kisa,0494-430 84,Pinnarp,
Valsängs Dressyrstall,,Klövedal,0304-66 35 15,Valsäng 604,marika@yogama.nu
Sundsvalls Lantliga Ryttarförening,,Kovland,060-914 42,Byn,
Lennartsnäs säteri,,Kungsängen,08-581 666 90,Lennartsnäsvägen,hans.aberg@lennartsnas.se
Lammhults Ridklubb,,Lammhult,0472-750 44,Slätthult,
Landskrona Ridklubb,,Landskrona,0418-139 37,karlslund,
Svarttorps Ridsällskap,,Lekeryd,036-811 04,Ramsjöholm,
Leksands Ridklubb,,Leksand,0247-212 56,Styrsjöbo 28,info@leksandsrk.org
Föreningen Linde Ridskola,,Lindesberg,0581-122 45,Norslundsvägen 10,
Karlskrona Kommun - Stallet,,Lyckeby,0455-30 30 00,lyckå ridklubb afvelsgärde 27,susanne.strom@blekingemuseum.se
Länghems Ridklubb,,Länghem,0325-402 00,Stakagården,
Stall Killigrew,,Matfors,070-664 17 17,pl 142,info@killigrew.com
Mora Ridklubb av År 2000,,Mora,0250-170 20,Lomsmyren,
